iter	Passed	Remaining
0	3	3811
1	7	3632
2	11	3682
3	15	3779
4	18	3751
5	22	3749
6	27	3851
7	31	3858
8	35	3854
9	39	3866
10	43	3877
11	46	3846
12	50	3809
13	54	3814
14	57	3806
15	61	3795
16	65	3804
17	68	3762
18	72	3758
19	76	3727
20	80	3733
21	83	3710
22	86	3682
23	90	3682
24	93	3663
25	96	3611
26	101	3661
27	104	3631
28	107	3583
29	110	3584
30	114	3585
31	118	3598
32	121	3571
33	125	3566
34	129	3557
35	132	3543
36	135	3528
37	139	3519
38	142	3511
39	145	3482
40	147	3447
41	151	3448
42	153	3421
43	157	3427
44	161	3422
45	164	3412
46	166	3384
47	169	3369
48	173	3364
49	176	3356
50	180	3350
51	183	3339
52	186	3324
53	189	3318
54	193	3320
55	196	3308
56	198	3287
57	201	3268
58	204	3265
59	207	3257
60	211	3253
61	213	3236
62	217	3234
63	220	3228
64	224	3224
65	227	3213
66	230	3208
67	233	3201
68	237	3199
69	240	3190
70	242	3177
71	246	3171
72	248	3157
73	252	3155
74	255	3151
75	258	3140
76	260	3124
77	263	3116
78	268	3135
79	271	3122
80	274	3115
81	278	3115
82	282	3117
83	285	3115
84	288	3109
85	291	3099
86	294	3089
87	297	3079
88	299	3062
89	301	3052
90	304	3043
91	307	3030
92	309	3016
93	312	3009
94	315	3001
95	318	2997
96	320	2987
97	323	2973
98	325	2962
99	327	2949
100	330	2941
101	332	2929
102	334	2915
103	337	2903
104	339	2890
105	340	2875
106	343	2869
107	345	2856
108	348	2844
109	350	2837
110	352	2823
111	353	2801
112	355	2792
113	357	2781
114	360	2773
115	362	2765
116	365	2760
117	367	2749
118	370	2742
119	373	2736
120	376	2731
121	379	2733
122	382	2725
123	385	2720
124	387	2712
125	390	2705
126	392	2698
127	394	2690
128	397	2684
129	399	2675
130	402	2668
131	404	2660
132	406	2648
133	408	2641
134	410	2633
135	412	2623
136	415	2616
137	417	2608
138	419	2599
139	422	2592
140	425	2589
141	427	2581
142	430	2577
143	432	2572
144	435	2569
145	438	2565
146	441	2563
147	445	2562
148	448	2560
149	452	2563
150	455	2562
151	459	2561
152	462	2560
153	465	2558
154	468	2552
155	470	2547
156	473	2541
157	476	2537
158	478	2533
159	481	2529
160	484	2524
161	487	2522
162	490	2518
163	493	2514
164	496	2514
165	500	2512
166	503	2510
167	505	2505
168	509	2503
169	512	2503
170	516	2504
171	520	2503
172	523	2501
173	526	2497
174	530	2500
175	534	2501
176	538	2502
177	541	2502
178	544	2498
179	548	2498
180	551	2497
181	555	2498
182	559	2496
183	562	2496
184	566	2495
185	569	2491
186	572	2488
187	576	2491
188	579	2488
189	583	2487
190	586	2484
191	590	2485
192	593	2483
193	597	2480
194	600	2478
195	603	2474
196	606	2473
197	609	2468
198	612	2463
199	615	2460
200	617	2456
201	620	2453
202	624	2450
203	627	2447
204	629	2441
205	632	2437
206	635	2432
207	638	2431
208	641	2428
209	643	2422
210	646	2416
211	648	2410
212	650	2405
213	653	2399
214	655	2393
215	657	2387
216	660	2382
217	662	2377
218	665	2371
219	667	2365
220	669	2360
221	672	2355
222	674	2349
223	677	2345
224	679	2341
225	682	2336
226	684	2331
227	687	2326
228	689	2321
229	692	2317
230	694	2311
231	696	2306
232	699	2301
233	700	2294
234	704	2291
235	706	2286
236	708	2281
237	711	2277
238	713	2272
239	716	2269
240	719	2267
241	722	2262
242	725	2259
243	728	2258
244	731	2255
245	734	2250
246	737	2249
247	740	2245
248	743	2241
249	746	2238
250	748	2234
251	751	2231
252	753	2225
253	756	2221
254	758	2216
255	761	2212
256	764	2210
257	767	2208
258	770	2205
259	773	2202
260	777	2201
261	779	2195
262	782	2192
263	785	2188
264	787	2184
265	791	2184
266	794	2181
267	797	2177
268	800	2174
269	803	2173
270	807	2172
271	812	2174
272	817	2176
273	821	2177
274	826	2179
275	830	2179
276	835	2179
277	838	2177
278	842	2176
279	846	2176
280	849	2174
281	854	2174
282	857	2173
283	861	2170
284	863	2167
285	867	2165
286	870	2163
287	873	2160
288	876	2157
289	880	2155
290	883	2153
291	887	2152
292	891	2150
293	895	2149
294	899	2149
295	904	2150
296	909	2151
297	913	2152
298	917	2150
299	921	2149
300	925	2148
301	930	2150
302	934	2148
303	938	2147
304	942	2148
305	946	2145
306	949	2144
307	954	2144
308	957	2141
309	960	2138
310	964	2136
311	967	2133
312	970	2130
313	974	2128
314	977	2126
315	980	2122
316	983	2119
317	986	2115
318	988	2109
319	990	2105
320	993	2100
321	995	2095
322	997	2091
323	1000	2086
324	1002	2081
325	1004	2076
326	1006	2071
327	1008	2066
328	1010	2061
329	1013	2056
330	1015	2051
331	1017	2047
332	1019	2042
333	1022	2038
334	1025	2034
335	1027	2030
336	1030	2026
337	1032	2021
338	1034	2016
339	1036	2012
340	1038	2007
341	1040	2002
342	1042	1997
343	1044	1992
344	1046	1987
345	1048	1982
346	1049	1975
347	1051	1970
348	1053	1965
349	1055	1960
350	1057	1954
351	1059	1949
352	1060	1944
353	1062	1939
354	1064	1934
355	1066	1928
356	1068	1923
357	1070	1918
358	1072	1914
359	1073	1909
360	1075	1904
361	1077	1899
362	1079	1894
363	1081	1889
364	1083	1885
365	1085	1880
366	1088	1877
367	1090	1872
368	1092	1867
369	1093	1862
370	1095	1857
371	1097	1852
372	1098	1847
373	1100	1842
374	1103	1838
375	1105	1834
376	1107	1829
377	1109	1825
378	1111	1821
379	1113	1816
380	1115	1812
381	1117	1807
382	1119	1802
383	1120	1798
384	1122	1793
385	1124	1788
386	1125	1783
387	1127	1778
388	1129	1774
389	1131	1769
390	1133	1765
391	1135	1760
392	1136	1755
393	1138	1751
394	1140	1746
395	1141	1741
396	1143	1737
397	1145	1732
398	1147	1728
399	1149	1723
400	1150	1719
401	1152	1714
402	1154	1710
403	1156	1705
404	1158	1701
405	1159	1696
406	1161	1692
407	1163	1688
408	1164	1683
409	1166	1678
410	1168	1674
411	1170	1670
412	1172	1666
413	1174	1661
414	1175	1657
415	1177	1653
416	1179	1649
417	1181	1644
418	1183	1640
419	1184	1636
420	1186	1631
421	1187	1627
422	1189	1622
423	1191	1618
424	1193	1614
425	1195	1610
426	1197	1606
427	1198	1602
428	1200	1597
429	1202	1593
430	1204	1589
431	1205	1585
432	1207	1581
433	1209	1577
434	1210	1572
435	1212	1568
436	1214	1564
437	1216	1560
438	1217	1556
439	1219	1551
440	1221	1547
441	1222	1543
442	1224	1539
443	1226	1535
444	1228	1531
445	1229	1527
446	1231	1523
447	1232	1518
448	1233	1514
449	1235	1510
450	1237	1506
451	1239	1502
452	1240	1498
453	1242	1494
454	1244	1490
455	1245	1486
456	1247	1482
457	1249	1478
458	1250	1474
459	1252	1470
460	1254	1467
461	1256	1463
462	1258	1459
463	1259	1454
464	1261	1451
465	1263	1448
466	1265	1444
467	1267	1440
468	1268	1436
469	1270	1432
470	1272	1428
471	1273	1424
472	1275	1420
473	1277	1417
474	1278	1413
475	1280	1409
476	1282	1406
477	1284	1402
478	1285	1398
479	1287	1395
480	1289	1391
481	1290	1387
482	1292	1383
483	1294	1379
484	1296	1376
485	1297	1372
486	1299	1368
487	1301	1365
488	1303	1361
489	1304	1357
490	1306	1354
491	1308	1350
492	1310	1347
493	1311	1343
494	1313	1340
495	1315	1336
496	1317	1333
497	1318	1329
498	1320	1326
499	1322	1322
500	1324	1318
501	1325	1315
502	1327	1311
503	1329	1308
504	1330	1304
505	1332	1301
506	1334	1297
507	1336	1294
508	1338	1290
509	1340	1287
510	1342	1284
511	1344	1281
512	1346	1277
513	1347	1274
514	1349	1271
515	1351	1267
516	1353	1264
517	1355	1261
518	1357	1257
519	1358	1254
520	1361	1251
521	1362	1248
522	1364	1244
523	1366	1241
524	1368	1238
525	1370	1235
526	1372	1232
527	1374	1229
528	1377	1226
