iter	Passed	Remaining
0	1	454
1	3	449
2	4	432
3	5	418
4	7	414
5	8	410
6	9	413
7	11	406
8	12	401
9	13	395
10	14	388
11	15	383
12	17	380
13	18	375
14	19	371
15	20	367
16	22	367
17	23	364
18	24	362
19	25	359
20	27	359
21	28	357
22	29	354
23	30	354
24	32	354
25	33	353
26	34	351
27	35	348
28	37	345
29	38	344
30	39	341
31	40	340
32	41	338
33	42	336
34	44	334
35	45	332
36	46	331
37	47	328
38	48	327
39	50	325
40	51	326
41	52	324
42	54	324
43	55	323
44	56	321
45	58	320
46	59	318
47	60	317
48	61	316
49	63	315
50	64	313
51	65	311
52	66	310
53	67	309
54	69	309
55	70	308
56	72	307
57	73	305
58	74	304
59	75	303
60	77	301
61	78	300
62	79	299
63	81	298
64	82	297
65	83	296
66	84	295
67	86	295
68	87	294
69	89	292
70	90	291
71	91	290
72	92	288
73	94	287
74	95	285
75	96	284
76	97	282
77	98	281
78	100	279
79	101	278
80	102	276
81	103	275
82	104	274
83	106	272
84	107	271
85	108	269
86	109	268
87	111	267
88	112	266
89	113	265
90	114	264
91	116	262
92	117	261
93	118	260
94	119	258
95	121	257
96	122	255
97	123	254
98	124	253
99	125	251
100	126	249
101	127	248
102	129	246
103	130	245
104	131	244
105	132	242
106	133	241
107	135	240
108	136	238
109	137	237
110	138	236
111	139	234
112	141	233
113	142	232
114	143	230
115	144	229
116	145	227
117	146	226
118	148	225
119	149	224
120	150	222
121	151	221
122	152	220
123	154	218
124	155	217
125	156	216
126	157	214
127	158	213
128	160	212
129	161	211
130	162	209
131	163	208
132	164	206
133	166	205
134	167	204
135	168	203
136	169	201
137	170	200
138	172	199
139	173	198
140	174	196
141	175	195
142	177	194
143	178	193
144	179	192
145	181	190
146	182	189
147	183	188
148	184	187
149	185	185
150	187	184
151	188	183
152	189	182
153	190	180
154	192	179
155	193	178
156	194	177
157	195	175
158	196	174
159	198	173
160	199	172
161	200	170
162	201	169
163	203	168
164	204	167
165	205	165
166	206	164
167	207	163
168	209	162
169	210	160
170	211	159
171	212	158
172	213	157
173	215	155
174	216	154
175	217	153
176	218	151
177	219	150
178	220	149
179	222	148
180	223	146
181	224	145
182	225	144
183	226	142
184	228	141
185	229	140
186	230	139
187	231	137
188	232	136
189	234	135
190	235	134
191	236	133
192	238	132
193	239	130
194	240	129
195	241	128
196	243	127
197	244	125
198	245	124
199	247	123
200	248	122
201	250	121
202	251	120
203	252	118
204	253	117
205	255	116
206	256	115
207	257	113
208	258	112
209	260	111
210	261	110
211	262	109
212	263	107
213	265	106
214	266	105
215	267	103
216	268	102
217	269	101
218	270	100
219	272	99
220	273	97
221	274	96
222	275	95
223	276	93
224	277	92
225	278	91
226	279	90
227	281	88
228	282	87
229	283	86
230	284	85
231	286	83
232	287	82
233	288	81
234	289	80
235	290	78
236	292	77
237	293	76
238	294	75
239	296	74
240	297	72
241	298	71
242	299	70
243	300	69
244	302	67
245	303	66
246	304	65
247	306	64
248	307	62
249	308	61
250	310	60
251	311	59
252	312	58
253	313	56
254	315	55
255	316	54
256	317	53
257	318	51
258	319	50
259	321	49
260	322	48
261	323	46
262	324	45
263	326	44
264	327	43
265	328	42
266	330	40
267	331	39
268	332	38
269	333	37
270	334	35
271	336	34
272	337	33
273	338	32
274	339	30
275	340	29
276	341	28
277	342	27
278	344	25
279	345	24
280	346	23
281	347	22
282	348	20
283	349	19
284	351	18
285	352	17
286	353	16
287	354	14
288	355	13
289	357	12
290	358	11
291	359	9
292	360	8
293	362	7
294	363	6
295	364	4
296	366	3
297	367	2
298	368	1
299	369	0
